Date,AAPL,AMD,AMZN,BAC,BK,C,CSCO,F,GOOG,HOG,HPQ,IBM,INTC,JPM,MS,MSFT,NVDA,SONY,T,VZ
11/01/2021,147.884644,125.230003,165.905502,46.537212,57.735558,66.266304,53.961533,17.296173,143.774002,39.01923,30.082209,113.507439,46.759529,163.397614,99.660919,325.716522,257.997131,121.239998,17.578903,49.424942
11/02/2021,148.936981,127.629997,165.637497,46.566391,57.648983,65.304825,55.423599,17.353989,145.863007,37.685909,29.851177,113.417542,47.052071,164.042358,100.293373,329.434784,263.731079,123.32,17.481895,49.070232
11/03/2021,150.396378,130.529999,169.199997,47.042946,57.802895,65.685608,55.452454,17.951403,146.789993,38.480019,30.082209,114.271469,47.552223,164.100098,98.328903,330.295166,265.699005,123.139999,17.44725,49.415604
11/04/2021,149.870193,137.5,173.850006,46.031479,56.812096,63.78167,54.942657,18.712629,148.682999,37.048664,30.15922,113.623474,47.806889,161.944534,95.626556,332.708099,297.695129,122.650002,17.183947,48.398174
11/05/2021,150.407074,136.339996,175.949493,45.681358,56.58123,63.772148,54.894566,18.587366,149.240997,37.362385,30.756052,116.218437,48.386539,161.713593,95.703224,332.332275,297.205627,123.220001,17.391819,48.762211
11/08/2021,149.571899,150.160004,174.449005,46.041203,56.735138,65.162025,54.827232,19.416039,149.351501,37.11729,30.419132,117.092827,48.985191,162.685501,95.894875,333.251984,307.714569,123.349998,17.23938,48.846214
11/09/2021,149.939789,148.919998,178.811493,45.593826,56.350365,64.724113,55.250454,19.387131,149.248505,36.931015,30.582779,115.139687,48.652603,161.453781,95.549896,332.223541,306.246124,122.470001,17.121588,48.762211
11/10/2021,147.066467,139.869995,174.102493,45.934219,56.908291,64.933548,55.567879,18.654814,146.626007,36.431023,30.342121,114.539459,48.234493,161.299805,93.690834,327.130646,294.278778,121.449997,17.287884,49.09824
11/11/2021,147.016739,146.009995,173.625,46.187092,57.706703,65.561852,54.596378,18.837893,146.748001,36.950623,30.505766,114.58709,48.015942,161.290192,94.754524,328.742584,303.578918,121,17.267096,48.958229
11/12/2021,149.124527,147.889999,176.257507,45.623001,57.793278,65.837921,54.654095,18.789715,149.645493,37.636894,30.630909,113.338997,47.806889,160.568466,95.684059,332.984985,303.578918,122.900002,17.280954,48.855553
11/15/2021,149.13446,146.490005,177.283997,45.759159,57.629742,65.438087,55.086937,19.1366,149.388,37.911396,30.178474,113.25325,47.816391,160.279785,96.029037,332.342224,299.932739,122.949997,17.183947,48.91156
11/16/2021,150.128693,152.449997,177.035004,45.788338,56.89867,64.486122,54.827232,19.069155,149.076004,37.980026,30.043705,112.862617,48.091965,159.125031,96.489014,335.74408,301.710876,125.080002,17.086941,48.594196
11/17/2021,152.604324,151.339996,177.449997,45.233974,55.840538,63.638882,54.596378,19.232958,149.061996,37.234932,29.77417,112.481522,47.730865,158.268585,93.604599,335.971893,292.300842,124.230003,17.086941,48.286156
11/18/2021,156.959045,155.020004,184.802994,45.049191,55.571201,63.886383,51.585693,18.94243,150.709,37.225132,30.236231,111.147682,47.208233,156.90213,93.604599,338.101929,316.415344,125.160004,16.899858,47.828781
11/19/2021,159.623566,155.410004,183.828506,44.154427,54.897835,63.15337,51.220177,18.777796,149.952499,36.656506,30.274736,110.56649,47.056194,154.852448,92.866722,339.924835,329.501526,125.239998,16.719707,47.474079
11/22/2021,160.090881,152.520004,178.628494,45.010281,55.99445,63.819752,52.518715,19.833385,147.078506,38.460415,30.736795,110.966644,47.350773,158.153122,95.176163,336.675293,319.222382,122.400002,17.114655,48.108803
11/23/2021,160.478622,149.919998,179.001999,46.196815,56.764,64.80027,53.192036,19.562225,146.757004,38.538845,30.987082,111.27153,46.657085,161.934921,97.610191,334.545258,317.124573,121.779999,17.156235,48.304829
11/24/2021,161.005554,157.800003,179.020493,46.323254,56.677422,64.048218,53.422886,19.610645,146.717499,38.048653,34.115631,111.214371,47.284248,160.664688,96.901077,334.773102,326.394775,122.220001,16.95529,48.220818
11/26/2021,155.905167,154.809998,175.227997,44.504551,54.590019,62.353725,52.586044,19.126432,142.806,36.666317,33.287773,110.33783,46.353012,155.824356,93.844162,326.619507,314.697174,121.269997,16.782064,48.351498
11/29/2021,159.315384,161.910004,178.078506,44.339218,54.840122,61.915825,53.634502,19.04896,146.113998,36.931015,34.587318,112.900726,47.51231,155.150757,93.173378,333.505005,333.407379,121.440002,16.553408,48.220818
11/30/2021,164.346176,158.369995,175.3535,43.249947,52.70462,60.64019,52.749569,18.584114,142.451996,35.911419,33.961609,111.566872,46.752121,152.841248,90.863922,327.521057,326.414795,121.849998,15.818933,46.923355
12/01/2021,163.819229,149.110001,172.186005,42.63723,52.079357,59.516869,52.932323,18.9618,141.617996,35.911419,35.097511,111.395386,46.181965,151.936676,91.285561,327.015839,314.056305,119.370003,15.403193,46.456638
