Date,AAPL,AMD,AMZN,BAC,BK,C,CSCO,F,GOOG,HOG,HPQ,IBM,INTC,JPM,MS,MSFT,NVDA,SONY,T,VZ
11/01/2019,62.830284118652344,34.88999938964844,1791.43994140625,30.21950912475586,44.458351135253906,68.87278747558594,43.91341781616211,8.69754409790039,1273.739990234375,37.77235412597656,16.557254791259766,115.84746551513672,53.451175689697266,119.58377838134766,44.877628326416016,140.55300903320312,50.482696533203125,61.439998626708984,33.25258255004883,54.6735725402832
11/04/2019,63.24289321899414,36.290000915527344,1804.6600341796875,30.789695739746094,45.928977966308594,70.09467315673828,44.33359909057617,8.80516242980957,1291.3699951171875,37.31136703491211,16.762126922607422,117.67667388916016,54.491641998291016,120.53820037841797,46.29990768432617,141.36471557617188,52.45375061035156,61.56999969482422,33.20136260986328,54.22074890136719
11/05/2019,63.15202331542969,36.150001525878906,1801.7099609375,31.188819885253906,46.35319900512695,69.79619598388672,44.59503936767578,8.82473087310791,1292.030029296875,37.88760757446289,17.134618759155273,117.8647232055664,54.434879302978516,120.8001937866211,46.22405242919922,141.27670288085938,52.23197555541992,61.439998626708984,33.440399169921875,53.88566207885742
11/06/2019,63.17903518676758,35.93000030517578,1795.77001953125,31.160310745239258,46.31549835205078,69.41377258300781,45.07124328613281,8.72689437866211,1291.800048828125,37.013648986816406,18.224153518676758,118.62547302246094,54.78202819824219,120.98735046386719,46.04389190673828,140.885498046875,51.738590240478516,60.72999954223633,33.50870132446289,54.45621871948242
11/07/2019,63.908203125,36.279998779296875,1788.199951171875,31.578445434570312,46.57003402709961,70.71026611328125,45.211307525634766,8.69754409790039,1308.8599853515625,37.69552230834961,18.056535720825195,119.08385467529297,55.21001434326172,121.64234161376953,46.138710021972656,141.08108520507812,51.91551971435547,60.400001525878906,33.653831481933594,54.8184700012207
11/08/2019,64.0831069946289,36.290000915527344,1785.8800048828125,31.606950759887695,46.3814811706543,70.99942016601562,45.59414291381836,8.8442964553833,1311.3699951171875,37.829978942871094,18.17759132385254,119.01465606689453,55.41925048828125,121.99789428710938,46.60332489013672,142.74365234375,51.77597427368164,60.40999984741211,33.61968231201172,53.74980926513672
11/11/2019,64.590576171875,36.310001373291016,1771.6500244140625,31.530927658081055,46.24950408935547,70.51438903808594,44.912513732910156,8.883430480957031,1299.18994140625,36.99443435668945,18.289342880249023,117.16384887695312,55.495338439941406,121.56747436523438,46.54643249511719,142.89035034179688,51.87564468383789,61.720001220703125,33.611141204833984,53.98528289794922
11/12/2019,64.53144073486328,36.709999084472656,1778.0,31.445396423339844,46.09867477416992,70.02005004882812,45.16462707519531,8.8442964553833,1298.800048828125,36.84077453613281,18.18690299987793,117.26762390136719,55.35267639160156,120.85633850097656,46.470577239990234,143.8291778564453,52.23197555541992,62.130001068115234,33.440399169921875,53.722652435302734
11/13/2019,65.14976501464844,37.52000045776367,1753.1099853515625,31.160310745239258,45.58017349243164,68.9380874633789,45.2486572265625,8.61927604675293,1298.0,36.312557220458984,18.18690299987793,116.30762481689453,55.05784606933594,120.22005462646484,45.8827018737793,144.06390380859375,51.97282791137695,62.290000915527344,33.431861877441406,53.80415725708008
11/14/2019,64.69896697998047,38.349998474121094,1754.5999755859375,31.074785232543945,45.64616775512695,68.87278747558594,41.93390655517578,8.599708557128906,1311.4599609375,36.1781005859375,18.745643615722656,115.89248657226562,54.98175811767578,120.33232879638672,46.09130096435547,144.79739379882812,52.276832580566406,61.849998474121094,33.25258255004883,53.74076461791992
11/15/2019,65.4675521850586,38.560001373291016,1739.489990234375,31.293352127075195,45.787574768066406,69.3951187133789,42.10197830200195,8.756244659423828,1334.8699951171875,36.4758186340332,18.792203903198242,116.23844146728516,55.124420166015625,121.2025375366211,46.45161056518555,146.66529846191406,50.88139343261719,62.060001373291016,33.72212600708008,53.894718170166016
11/18/2019,65.79764556884766,39.880001068115234,1752.530029296875,31.321857452392578,45.93840026855469,69.3951187133789,42.15800857543945,8.756244659423828,1320.699951171875,36.06285095214844,18.633895874023438,116.16059875488281,55.40022659301758,122.22246551513672,46.489540100097656,147.0271453857422,52.89731216430664,62.439998626708984,33.8331184387207,53.831321716308594
11/19/2019,65.59810638427734,41.290000915527344,1752.7900390625,31.302854537963867,45.900699615478516,69.78685760498047,42.45680236816406,8.707326889038086,1315.4599609375,35.400177001953125,18.727020263671875,116.34220886230469,55.495338439941406,122.18502807617188,46.77400207519531,147.07603454589844,51.82830047607422,61.900001525878906,32.44154739379883,53.88566207885742
11/20/2019,64.8344497680664,40.97999954223633,1745.530029296875,31.065282821655273,46.07981872558594,68.9380874633789,42.092647552490234,8.541007041931152,1303.050048828125,34.11324691772461,18.345216751098633,115.20059967041016,55.067352294921875,121.29612731933594,46.555908203125,146.82089233398438,52.623207092285156,61.47999954223633,31.741487503051758,53.867549896240234
11/21/2019,64.54376983642578,39.52000045776367,1734.7099609375,31.207828521728516,45.787574768066406,68.92875671386719,41.86854934692383,8.521440505981445,1301.3499755859375,34.35334396362305,18.29865264892578,115.75410461425781,55.37169647216797,121.57681274414062,46.30938720703125,146.68353271484375,52.37401580810547,61.52000045776367,32.10005569458008,53.98528289794922
11/22/2019,64.48710632324219,39.150001525878906,1745.719970703125,31.530927658081055,46.004398345947266,69.83350372314453,41.87788391113281,8.69754409790039,1295.3399658203125,35.0256233215332,18.568708419799805,116.18653869628906,54.791542053222656,122.38153839111328,46.69813919067383,146.7914581298828,52.550941467285156,61.20000076293945,32.22811508178711,54.11207580566406
